city,state,country,latitude,longitude
remote,wy,,-46.163992,169.87505
none,co,,48.257585,124.77923
none,co,,48.257585,124.77923
york,ma,,14.569805,121.078675
highway 5,az,,17.102742,42.63668
allen,ky,,0,0
alvord (dry lake area),or,,0,0
america west flt 2620 (phoenix-oakland&#44 nv-ca),ca,,0,0
annandale,ny,,0,0
antelope valley,ca,,0,0
at a pullout on the highway,id,,0,0
at sea (between panama &amp; hawaii),hi,,0,0
metlakatla,ak,us,55.1291667,-131.5722222
metlakatla,ak,us,55.1291667,-131.5722222
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan,ak,us,55.3422222,-131.6461111
ketchikan (area),ak,us,55.3422222,-131.6461111
ward cove,ak,us,55.4119444,-131.7227778
wrangell,ak,us,56.4708333,-132.3766667
wrangell,ak,us,56.4708333,-132.3766667
wrangell,ak,us,56.4708333,-132.3766667
petersburg,ak,us,56.8125,-132.9555556
craig (coffman cove road),ak,us,55.4763889,-133.1483333
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
juneau,ak,us,58.3019444,-134.4197222
angoon,ak,us,57.5033333,-134.5838889
auke bay,ak,us,58.3833333,-134.6597222
auke bay,ak,us,58.3833333,-134.6597222
sitka,ak,us,57.0530556,-135.33
sitka (north of&#44 st. john bay),ak,us,57.0530556,-135.33
haines,ak,us,59.2358333,-135.445
gustavus,ak,us,58.4133333,-135.7369444
yakutat,ak,us,59.5469444,-139.7272222
tok (30 miles nw of),ak,us,63.3366667,-142.9855556
tanacross,ak,us,63.3852778,-143.3463889
kaktovik,ak,us,70.1319444,-143.6238889
copper center,ak,us,61.955,-145.3052778
glennallen,ak,us,62.1091667,-145.5463889
glennallen,ak,us,62.1091667,-145.5463889
glennallen,ak,us,62.1091667,-145.5463889
delta junction,ak,us,64.0377778,-145.7322222
delta junction,ak,us,64.0377778,-145.7322222
cordova,ak,us,60.5427778,-145.7575
cordova,ak,us,60.5427778,-145.7575
cordova,ak,us,60.5427778,-145.7575
valdez,ak,us,61.1308333,-146.3483333
venetie,ak,us,67.0138889,-146.4186111
nelchina (near),ak,us,61.9919444,-146.7686111
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
north pole,ak,us,64.7511111,-147.3494444
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks,ak,us,64.8377778,-147.7163889
fairbanks (20m miles south of),ak,us,64.8377778,-147.7163889
ester,ak,us,64.8472222,-148.0144444
sutton,ak,us,61.7113889,-148.8941667
healy,ak,us,63.8569444,-148.9661111
butte,ak,us,61.5422222,-149.0333333
nenana,ak,us,64.5638889,-149.0930556
nenana,ak,us,64.5638889,-149.0930556
nenana,ak,us,64.5638889,-149.0930556
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer,ak,us,61.5997222,-149.1127778
palmer (10 miles north of),ak,us,61.5997222,-149.1127778
girdwood,ak,us,60.9425,-149.1663889
eklutna,ak,us,61.4580556,-149.3622222
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
wasilla,ak,us,61.5813889,-149.4394444
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
seward,ak,us,60.1041667,-149.4422222
chugiak,ak,us,61.3888889,-149.4819444
chugiak,ak,us,61.3888889,-149.4819444
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
eagle river,ak,us,61.3213889,-149.5677778
knik,ak,us,61.4577778,-149.7288889
big lake,ak,us,61.55,-149.8666667
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
anchorage,ak,us,61.2180556,-149.9002778
willow,ak,us,61.7472222,-150.0375
willow,ak,us,61.7472222,-150.0375
willow,ak,us,61.7472222,-150.0375
willow,ak,us,61.7472222,-150.0375
talkeetna,ak,us,62.3238889,-150.1094444
talkeetna (matsue area),ak,us,62.3238889,-150.1094444
trapper creek (10 miles north of),ak,us,62.3166667,-150.2313889
sterling,ak,us,60.5372222,-150.7647222
sterling,ak,us,60.5372222,-150.7647222
soldotna,ak,us,60.4877778,-151.0583333
soldotna,ak,us,60.4877778,-151.0583333
soldotna,ak,us,60.4877778,-151.0583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
kenai,ak,us,60.5544444,-151.2583333
nikiski,ak,us,60.6902778,-151.2888889
nikiski,ak,us,60.6902778,-151.2888889
nikiski,ak,us,60.6902778,-151.2888889
